codigo,pais,puestosdirec2019,mujeresAct2015,inciPobreza2015,proporEduca2015,parlamentos2015,gasteduc2015,vulnerable2015,participacion2015,inequidad2015,empoderamiento2015,Prop2015,Pbi2015,alfabetizacion2015
ALB,Albania,41.2999992370605,41.8914325440893,0.1,0.982420027256012,20.71428571,11.17755032,56.34000015,20.7,0.144,0.377,0.968180000782013,1033.242532,100
AUT,Austria,32,46.8950611202675,0.7,0.97282999753952,30.6010929,10.69347954,7.920000076,36.9,0.053,0.473,0.966949999332428,27183.47593,..
BEL,Belgium,31.8999996185303,46.1483902861869,0.1,1.08054995536804,39.33333333,12.00967979,8.689999938,44.2,0.048,0.48,1.04175996780396,25252.80191,..
COL,Colombia,31,43.2761055403753,4.9,1.0215699672699,19.87951807,14.29273033,47.00000095,66.9,0.424,0.216,1.04314994812012,2209.93165,99
CRI,Costa Rica,42.7999992370605,39.3985394719361,1.6,1.01672005653381,33.33333333,23.37343025,19.16000009,43.5,0.256,0.545,1.00598001480103,3668.802068,100
CYP,Cyprus,23.7000007629395,46.3799079190606,0,0.996190011501312,12.5,16.02495956,10.60000002,45.1,0.123,0.177,1.0129599571228,15287.91895,100
DEU,Germany,28.6000003814697,46.5246922858045,0,0.966109991073608,36.45007924,10.99915981,5.239999831,33.5,0.073,0.509,0.978969991207123,26734.94254,..
DOM,Dominican Republic,50.5999984741211,39.023179778485,2.5,0.985369980335236,20.76502732,22.59584999,30.01000047,32.2,0.429,0.172,1.04760003089905,2653.225124,99
ECU,Ecuador,37.2999992370605,39.7972180045495,3.4,1.02245998382568,41.60583942,12.59764957,51.71000099,70.4,0.362,0.318,1.01150000095367,1578.934298,99
ESP,Spain,33.7000007629395,46.3606563384306,0.9,1.00452995300293,41.14285714,9.766460419,9.520000398,61.8,0.057,0.491,1.03498005867004,15720.6405,100
EST,Estonia,35.5,48.7084192417298,0.6,0.997789978981018,23.76237624,13.01430035,4.75999999,35.5,0.100,0.201,1.018630027771,4140.936602,100
FIN,Finland,36.7999992370605,48.2546512265254,0.1,1.05718004703522,41.5,12.44361019,7.310000062,44,0.033,0.669,1.04770004749298,26186.19001,..
GRC,Greece,29.7999992370605,44.0858781115337,1.4,0.959569990634918,19.66666667,7.156529903,25.19999933,45.9,0.119,0.123,1.0215699672699,13249.66332,99
HUN,Hungary,35.9000015258789,45.9510480335614,0.6,1.00296998023987,10.1010101,8.9230299,4.900000125,51.9,0.221,0.112,1.00332999229431,4793.478522,99
IND,India,14.8000001907349,21.1000261285005,18.7,1.07018005847931,11.97053407,15.69221973,79.94999886,10.7,0.490,0.276,0.796970009803772,441.9987604,90
IRL,Ireland,30.3999996185303,45.2124809528149,0.4,1.00846004486084,16.26506024,12.93684006,6.159999967,54.9,0.074,0.504,1.02216994762421,26338.10775,..
ITA,Italy,23.2999992370605,42.2151225171952,1.9,0.996529996395111,30.95238095,8.095910072,14.23999989,24,0.056,0.313,0.993610024452209,22005.05454,100
LTU,Lithuania,38.5999984741211,50.4599963617262,0.7,0.970130026340485,23.40425532,12.28826046,8.699999928,43.1,0.105,0.429,0.997439980506897,3113.17906,100
LUX,Luxembourg,26.5,45.5098812015653,0.3,1.02044999599457,28.33333333,9.334429741,6.370000124,40.5,0.044,0.247,1.02869999408722,50872.44927,..
LVA,Latvia,43.5,49.6542219622346,0.7,0.990239977836609,18,14.12740993,6.920000196,46.6,0.151,0.313,1.01603996753693,3151.577018,100
MLT,Malta,29.2000007629395,39.2913707778566,0.1,1.04007995128632,12.85714286,13.15089035,5.440000206,46,0.167,0.192,0.967060029506683,10633.60338,100
NLD,Netherlands,26,46.2231929088376,0.1,1.00880002975464,37.33333333,12.20965004,11.24000013,35,0.025,0.375,0.965480029582977,28272.64325,..
PHL,Philippines,29.2999992370605,39.7017400982624,6.5,1.00727999210358,27.24137931,16.01622009,41.4800005,69.2,0.419,0.362,1.02874994277954,1122.032017,99
PRT,Portugal,37,48.8763497667212,0.5,0.966910004615784,34.7826087,10.13582993,11.09000021,37.8,0.067,0.39,1.01848995685577,12475.29177,100
ROU,Romania,34.2000007629395,42.9924160894967,5.3,0.994530022144318,13.71571072,9.094510078,27.07999992,32.4,0.282,0.1,1.01060998439789,1599.889533,99
SRB,Serbia,33.5999984741211,43.3474343199462,6.6,1.00882005691528,34,8.87635994,22.39999962,28.5,0.131,0.437,1.00390005111694,2571.30404,100
SVN,Slovenia,40.5,45.81485925352,0,1.00969004631042,36.66666667,10.07917023,11.42999983,34.1,0.071,0.184,1.01750004291534,11452.78312,100
SWE,Sweden,41.9000015258789,47.7030077869698,0.6,1.09107995033264,43.5530086,15.38288021,4.53000021,37.3,0.023,0.522,1.15224003791809,30941.07936,..
