País;Población bajo el nivel de pobreza (%);Año
Siria;83;2020
Zimbabue;72;2020
Madagascar;71;2020
Sierra Leona;70;2020
Nigeria;70;2020
Surinam;70;2020
Guinea-Bissau;67;2020
Santo Tomé y Príncipe;66;2020
Burundi;65;2020
República Democrática del Congo;63;2020
Suazilandia;63;2020
República Centroafricana;62;2020
Guatemala;59;2020
Haití;59;2020
Lesoto;57;2020
Togo;55;2020
Afganistán;55;2020
Zambia;54;2020
Liberia;54;2020
Yemen;54;2020
Malaui;51;2020
Eritrea;50;2020
Gambia;48;2020
Guinea;47;2020
Chad;47;2020
Senegal;47;2020
Sudán;47;2020
Congo;47;2020
México;46;2020
Mozambique;46;2020
Níger;45;2020
Comoras;45;2020
Guinea Ecuatorial;44;2020
Timor Oriental;42;2020
Belice;41;2020
Burkina Faso;40;2020
Seychelles;39;2020
Ruanda;39;2020
Bolivia;39;2020
Granada;38;2020
Papúa-Nueva Guinea;37;2020
Angola;37;2020
Benín;36;2020
Malí;36;2020
Kenia;36;2020
Grecia;36;2020
Guyana;35;2020
Gabón;34;2020
El Salvador;33;2020
Kirguizistán;32;2020
Armenia;32;2020
Tayikistán;32;2020
Mauritania;31;2020
Fiyi;31;2020
República Dominicana;31;2020
Cabo Verde;30;2020
Camerún;30;2020
Italia;30;2020
Honduras;30;2020
Etiopía;30;2020
Nicaragua;30;2020
Mongolia;30;2020
Pakistán;30;2020
Dominica;29;2020
Namibia;29;2020
Líbano;29;2020
Colombia;28;2020
Egipto;28;2020
Tuvalu;26;2020
Argentina;26;2020
"Birmania; Myanmar";26;2020
Letonia;26;2020
Nepal;25;2020
Palaos;25;2020
Bangladesh;24;2020
Ghana;24;2020
Bulgaria;23;2020
Yibuti;23;2020
Argelia;23;2020
Iraq;23;2020
Panamá;23;2020
Tanzania;23;2020
Perú;23;2020
Tonga;23;2020
Rumania;22;2020
Lituania;22;2020
Paraguay;22;2020
Israel;22;2020
Laos;22;2020
Turquía;22;2020
India;22;2020
Costa Rica;22;2020
Filipinas;22;2020
Macedonia;22;2020
Ecuador;22;2020
Uganda;21;2020
Estonia;21;2020
España;21;2020
Trinidad y Tobago;20;2020
Hong Kong;20;2020
Venezuela;20;2020
Croacia;20;2020
Emiratos Árabes Unidos;20;2020
Botsuana;19;2020
Portugal;19;2020
Irán;19;2020
Polonia;18;2020
Jamaica;17;2020
Nueva Caledonia;17;2020
Bosnia y Hercegovina;17;2020
Alemania;17;2020
Sudáfrica;17;2020
Camboya;17;2020
Malta;16;2020
Groenlandia;16;2020
Japón;16;2020
Túnez;16;2020
Bélgica;15;2020
Estados Unidos;15;2020
Reino Unido;15;2020
Suecia;15;2020
Marruecos;15;2020
Hungría;15;2020
Chile;14;2020
Corea del Sur;14;2020
Albania;14;2020
Francia;14;2020
Jordania;14;2020
Uzbekistán;14;2020
Eslovenia;14;2020
Dinamarca;13;2020
Rusia;13;2020
Eslovaquia;12;2020
Bután;12;2020
Indonesia;11;2020
República Checa;10;2020
Uruguay;10;2020
Moldavia;10;2020
Canadá;9;2020
Bahamas;9;2020
Georgia;9;2020
Serbia;9;2020
Países Bajos;9;2020
Montenegro;9;2020
Irlanda;8;2020
Mauricio;8;2020
Vietnam;8;2020
Tailandia;7;2020
Sri Lanka;7;2020
Suiza;7;2020
Bielorrusia;6;2020
Azerbaiyán;5;2020
Brasil;4;2020
Malasia;4;2020
Ucrania;4;2020
China;3;2020
Austria;3;2020
Kazajistán;3;2020
Taiwán;2;2020
Turkmenistán;0;2020
