Country;Political Empowerment Index
Iceland;0.76
Finland;0.669
Norway;0.64
New Zealand;0.63
Nicaragua;0.606
Rwanda;0.563
Bangladesh;0.546
Costa Rica;0.545
Sweden;0.522
Germany;0.509
Ireland;0.504
Switzerland;0.494
Mozambique;0.494
South Africa;0.493
Spain;0.491
Belgium;0.48
Austria;0.473
Mexico;0.468
Namibia;0.463
France;0.457
Serbia;0.437
Lithuania;0.429
United Kingdom;0.419
United Arab Emirates;0.403
Argentina;0.39
Portugal;0.39
Cuba;0.382
Ethiopia;0.382
Canada;0.381
Albania;0.377
Netherlands;0.375
Denmark;0.371
Philippines;0.362
Bolivia;0.352
El Salvador;0.347
Burundi;0.345
United States;0.329
Senegal;0.327
Trinidad and Tobago;0.319
Ecuador;0.318
Italy;0.313
Latvia;0.313
Peru;0.31
Guyana;0.31
Bosnia and Herzegovina;0.302
Uganda;0.296
Croatia;0.294
Moldova;0.286
Chile;0.283
Barbados;0.278
India;0.276
Bulgaria;0.275
North Macedonia;0.267
Australia;0.258
Liberia;0.255
Suriname;0.252
Panama;0.252
Luxembourg;0.247
Angola;0.245
Georgia;0.245
Nepal;0.241
Timor-leste;0.238
Tanzania;0.235
Jamaica;0.23
Israel;0.227
Belarus;0.216
Colombia;0.216
Korea. Rep.;0.214
Tunisia;0.212
Montenegro;0.212
Zimbabwe;0.21
Singapore;0.208
Czech Republic;0.203
Cameroon;0.202
Estonia;0.201
Madagascar;0.2
Venezuela;0.199
Egypt;0.196
Kenya;0.193
Malta;0.192
Togo;0.185
Slovak Republic;0.184
Slovenia;0.184
Zambia;0.18
Honduras;0.179
Cyprus;0.177
Mali;0.172
Dominican Republic;0.172
Poland;0.171
Sri Lanka;0.167
Lesotho;0.165
Indonesia;0.164
Malawi;0.164
Paraguay;0.164
Fiji;0.16
Guinea;0.157
Niger;0.155
Pakistan;0.154
Cape Verde;0.152
Algeria;0.151
Mauritania;0.147
Eswatini;0.147
Ukraine;0.147
Lao PDR;0.146
Mauritius;0.144
Kazakhstan;0.141
Uruguay;0.14
Brazil;0.138
Iraq;0.136
Ghana;0.135
Afghanistan;0.132
Lebanon;0.129
Morocco;0.126
Turkey;0.123
Greece;0.123
Mongolia;0.122
Maldives;0.121
China;0.118
Chad;0.118
Myanmar;0.113
Viet Nam;0.113
Guatemala;0.112
Tajikistan;0.112
Hungary;0.112
Gambia. The;0.112
Cambodia;0.111
Kyrgyz Republic;0.108
Malaysia;0.102
Romania;0.1
Congo. Democratic Rep.;0.099
Benin;0.093
Armenia;0.091
Russian Federation;0.085
Thailand;0.084
Botswana;0.084
Sierra Leone;0.083
Bhutan;0.082
Saudi Arabia;0.077
Côte d'Ivoire;0.076
Belize;0.075
Azerbaijan;0.069
Syria;0.067
Bahrain;0.066
Jordan;0.066
Burkina Faso;0.066
Bahamas;0.064
Japan;0.061
Qatar;0.053
Nigeria;0.047
Oman;0.041
Iran. Islamic Rep.;0.036
Brunei Darussalam;0.031
Kuwait;0.022
Yemen;0.001
Papua New Guinea;0
Vanuatu;0
